strain,character_state,character_state_annotation
BA000034,5,5 copies
CP000261,6,6 copies
CP013838,5,5 copies
CP003116,5,5 copies
CP000260,6,6 copies
CP014139,6,6 copies
CP013672,6,6 copies
CP013839,5,5 copies
CP014027,6,6 copies
CP013840,5,5 copies
CP000003,6,6 copies
CP011415,6,6 copies
CP003901,6,6 copies
AE014074,6,6 copies
CP007024,6,6 copies
CP000056,6,6 copies
CP003068,6,6 copies
HG316453,6,6 copies
CP011068,6,6 copies
AE009949,6,6 copies
CP008926,6,6 copies
CP010450,6,6 copies
AM295007,6,6 copies
CP009612,6,6 copies
CP000262,6,6 copies
AE004092,6,6 copies
CP008776,5,5 copies
AP012335,6,6 copies
CP007560,6,6 copies
CP008695,5,5 copies
CP007537,5,5 copies
CP000259,6,6 copies
CP011535,6,6 copies
CP000829,6,6 copies
AFRY01000001,6,6 copies
CP015238,5,5 copies
CP012045,6,6 copies
CP007041,5,5 copies
AP012491,5,5 copies
CP006366,6,6 copies
CP014138,5,5 copies
CP007241,6,6 copies
AP014585,6,6 copies
CP010449,6,6 copies
CP007562,6,6 copies
AP014572,6,6 copies
CP000017,6,6 copies
CP003121,5,5 copies
CP007561,6,6 copies
CP007240,6,6 copies
