strain,character_state,character_state_annotation
STPY.0321.00082,1,1 copies
STPY.0321.00149,1,1 copies
STPY.0321.00018,0,0 copies
STPY.0321.00027,1,1 copies
STPY.0321.00040,1,1 copies
STPY.0321.00174,1,1 copies
STPY.0321.00118,0,0 copies
STPY.0321.00043,1,1 copies
STPY.0321.00155,1,1 copies
STPY.0321.00045,1,1 copies
STPY.0321.00186,0,0 copies
STPY.0321.00148,1,1 copies
STPY.0321.00188,0,0 copies
STPY.0321.00214,0,0 copies
STPY.0321.00184,0,0 copies
STPY.0321.00048,1,1 copies
STPY.0321.00064,1,1 copies
STPY.0321.00159,0,0 copies
STPY.0321.00109,0,0 copies
STPY.0321.00205,0,0 copies
STPY.0321.00156,0,0 copies
STPY.0321.00011,0,0 copies
STPY.0321.00079,1,1 copies
STPY.0321.00017,1,1 copies
STPY.0321.00124,0,0 copies
STPY.0321.00183,0,0 copies
STPY.0321.00102,0,0 copies
STPY.0321.00059,0,0 copies
STPY.0321.00166,1,1 copies
STPY.0321.00107,0,0 copies
STPY.0321.00199,1,1 copies
STPY.0321.00194,1,1 copies
STPY.0321.00065,1,1 copies
STPY.0321.00141,1,1 copies
STPY.0321.00104,1,1 copies
STPY.0321.00196,1,1 copies
STPY.0321.00128,1,1 copies
STPY.0321.00195,0,0 copies
STPY.0321.00181,1,1 copies
STPY.0321.00094,1,1 copies
STPY.0321.00175,0,0 copies
STPY.0321.00212,0,0 copies
STPY.0321.00127,1,1 copies
STPY.0321.00115,0,0 copies
STPY.0321.00060,1,1 copies
STPY.0321.00047,1,1 copies
STPY.0321.00198,1,1 copies
STPY.0321.00171,1,1 copies
STPY.0321.00146,1,1 copies
STPY.0321.00096,1,1 copies
STPY.0321.00001,1,1 copies
STPY.0321.00086,0,0 copies
STPY.0321.00137,0,0 copies
STPY.0321.00173,1,1 copies
STPY.0321.00067,1,1 copies
STPY.0321.00055,0,0 copies
STPY.0321.00129,1,1 copies
STPY.0321.00006,0,0 copies
STPY.0321.00092,1,1 copies
STPY.0321.00211,0,0 copies
STPY.0321.00062,1,1 copies
STPY.0321.00165,1,1 copies
STPY.0321.00099,0,0 copies
STPY.0321.00197,1,1 copies
STPY.0321.00025,0,0 copies
STPY.0321.00070,1,1 copies
STPY.0321.00176,1,1 copies
STPY.0321.00164,0,0 copies
STPY.0321.00071,1,1 copies
STPY.0321.00135,1,1 copies
STPY.0321.00157,0,0 copies
STPY.0321.00142,1,1 copies
STPY.0321.00158,0,0 copies
STPY.0321.00066,1,1 copies
STPY.0321.00041,1,1 copies
STPY.0321.00029,0,0 copies
STPY.0321.00022,1,1 copies
STPY.0321.00143,1,1 copies
