strain,character_state,character_state_annotation
STPY.0321.00076,6,6 copies
STPY.0321.00133,6,6 copies
STPY.0321.00071,6,6 copies
STPY.0321.00110,6,6 copies
STPY.0321.00145,6,6 copies
STPY.0321.00020,6,6 copies
STPY.0321.00138,6,6 copies
STPY.0321.00025,5,5 copies
STPY.0321.00044,5,5 copies
STPY.0321.00013,6,6 copies
STPY.0321.00140,6,6 copies
STPY.0321.00136,6,6 copies
STPY.0321.00114,5,5 copies
STPY.0321.00070,6,6 copies
STPY.0321.00091,6,6 copies
STPY.0321.00191,6,6 copies
STPY.0321.00147,6,6 copies
STPY.0321.00219,6,6 copies
STPY.0321.00049,6,6 copies
STPY.0321.00149,6,6 copies
STPY.0321.00126,5,5 copies
STPY.0321.00023,6,6 copies
STPY.0321.00064,6,6 copies
STPY.0321.00172,6,6 copies
STPY.0321.00014,6,6 copies
STPY.0321.00007,6,6 copies
STPY.0321.00210,6,6 copies
STPY.0321.00204,6,6 copies
STPY.0321.00183,6,6 copies
STPY.0321.00120,6,6 copies
STPY.0321.00174,6,6 copies
STPY.0321.00198,5,5 copies
STPY.0321.00117,6,6 copies
STPY.0321.00075,6,6 copies
STPY.0321.00215,6,6 copies
STPY.0321.00205,6,6 copies
STPY.0321.00085,6,6 copies
STPY.0321.00113,5,5 copies
STPY.0321.00029,6,6 copies
STPY.0321.00123,6,6 copies
STPY.0321.00155,6,6 copies
STPY.0321.00143,6,6 copies
STPY.0321.00199,6,6 copies
STPY.0321.00154,6,6 copies
STPY.0321.00037,6,6 copies
STPY.0321.00103,6,6 copies
STPY.0321.00153,7,7 copies
STPY.0321.00214,6,6 copies
STPY.0321.00006,5,5 copies
STPY.0321.00175,6,6 copies
STPY.0321.00194,6,6 copies
STPY.0321.00111,6,6 copies
STPY.0321.00144,6,6 copies
STPY.0321.00033,6,6 copies
STPY.0321.00116,7,7 copies
STPY.0321.00040,6,6 copies
STPY.0321.00028,6,6 copies
STPY.0321.00059,5,5 copies
STPY.0321.00160,6,6 copies
STPY.0321.00137,6,6 copies
STPY.0321.00067,6,6 copies
STPY.0321.00094,6,6 copies
STPY.0321.00176,6,6 copies
STPY.0321.00190,6,6 copies
STPY.0321.00193,8,8 copies
STPY.0321.00099,6,6 copies
STPY.0321.00041,6,6 copies
STPY.0321.00066,6,6 copies
STPY.0321.00021,6,6 copies
STPY.0321.00096,6,6 copies
STPY.0321.00087,6,6 copies
STPY.0321.00019,6,6 copies
STPY.0321.00089,6,6 copies
STPY.0321.00079,6,6 copies
STPY.0321.00161,6,6 copies
STPY.0321.00046,5,5 copies
STPY.0321.00052,6,6 copies
STPY.0321.00036,6,6 copies
STPY.0321.00072,6,6 copies
STPY.0321.00186,5,5 copies
STPY.0321.00016,6,6 copies
STPY.0321.00217,6,6 copies
STPY.0321.00188,6,6 copies
STPY.0321.00104,6,6 copies
STPY.0321.00047,6,6 copies
STPY.0321.00151,6,6 copies
STPY.0321.00003,5,5 copies
STPY.0321.00011,6,6 copies
STPY.0321.00179,6,6 copies
STPY.0321.00112,6,6 copies
STPY.0321.00034,6,6 copies
STPY.0321.00212,6,6 copies
STPY.0321.00135,6,6 copies
STPY.0321.00131,5,5 copies
STPY.0321.00057,6,6 copies
STPY.0321.00130,6,6 copies
STPY.0321.00200,6,6 copies
STPY.0321.00207,6,6 copies
STPY.0321.00189,6,6 copies
STPY.0321.00090,6,6 copies
STPY.0321.00156,6,6 copies
STPY.0321.00177,6,6 copies
STPY.0321.00118,6,6 copies
STPY.0321.00062,6,6 copies
STPY.0321.00005,6,6 copies
STPY.0321.00031,6,6 copies
STPY.0321.00012,6,6 copies
STPY.0321.00078,6,6 copies
STPY.0321.00209,5,5 copies
STPY.0321.00051,6,6 copies
STPY.0321.00218,6,6 copies
STPY.0321.00146,6,6 copies
STPY.0321.00168,6,6 copies
STPY.0321.00095,6,6 copies
STPY.0321.00195,6,6 copies
STPY.0321.00080,6,6 copies
STPY.0321.00129,6,6 copies
STPY.0321.00027,6,6 copies
STPY.0321.00097,6,6 copies
STPY.0321.00124,6,6 copies
STPY.0321.00162,6,6 copies
STPY.0321.00108,6,6 copies
STPY.0321.00026,6,6 copies
STPY.0321.00008,6,6 copies
STPY.0321.00122,6,6 copies
STPY.0321.00185,6,6 copies
STPY.0321.00063,6,6 copies
STPY.0321.00039,6,6 copies
STPY.0321.00211,6,6 copies
STPY.0321.00115,8,8 copies
STPY.0321.00030,6,6 copies
STPY.0321.00001,5,5 copies
STPY.0321.00132,6,6 copies
STPY.0321.00159,6,6 copies
STPY.0321.00192,6,6 copies
STPY.0321.00060,7,7 copies
STPY.0321.00068,6,6 copies
STPY.0321.00058,6,6 copies
STPY.0321.00004,5,5 copies
STPY.0321.00180,6,6 copies
STPY.0321.00107,6,6 copies
STPY.0321.00056,6,6 copies
STPY.0321.00092,6,6 copies
STPY.0321.00074,6,6 copies
STPY.0321.00170,6,6 copies
STPY.0321.00009,6,6 copies
STPY.0321.00017,6,6 copies
STPY.0321.00166,6,6 copies
