strain,character_state,character_state_annotation
STPY.0321.00013,0,adjacency exists
STPY.0321.00187,0,adjacency exists
STPY.0321.00204,0,adjacency exists
STPY.0321.00033,0,adjacency exists
STPY.0321.00017,3,inversion between 51h-52t and 101h-103t
STPY.0321.00199,0,adjacency exists
STPY.0321.00177,0,adjacency exists
STPY.0321.00169,0,adjacency exists
STPY.0321.00024,0,adjacency exists
STPY.0321.00138,0,adjacency exists
STPY.0321.00082,0,adjacency exists
STPY.0321.00122,3,inversion between 51h-52t and 101h-103t
STPY.0321.00117,0,adjacency exists
STPY.0321.00185,0,adjacency exists
STPY.0321.00026,0,adjacency exists
STPY.0321.00067,0,adjacency exists
STPY.0321.00136,0,adjacency exists
STPY.0321.00110,0,adjacency exists
STPY.0321.00034,0,adjacency exists
STPY.0321.00029,0,adjacency exists
STPY.0321.00218,0,adjacency exists
STPY.0321.00195,0,adjacency exists
STPY.0321.00157,0,adjacency exists
STPY.0321.00030,0,adjacency exists
STPY.0321.00186,0,adjacency exists
STPY.0321.00192,0,adjacency exists
STPY.0321.00202,0,adjacency exists
STPY.0321.00190,0,adjacency exists
STPY.0321.00149,0,adjacency exists
STPY.0321.00065,0,adjacency exists
STPY.0321.00055,0,adjacency exists
STPY.0321.00159,0,adjacency exists
STPY.0321.00093,0,adjacency exists
STPY.0321.00058,0,adjacency exists
STPY.0321.00194,0,adjacency exists
STPY.0321.00141,0,adjacency exists
STPY.0321.00135,0,adjacency exists
STPY.0321.00164,0,adjacency exists
STPY.0321.00105,0,adjacency exists
STPY.0321.00046,0,adjacency exists
STPY.0321.00066,0,adjacency exists
STPY.0321.00127,0,adjacency exists
STPY.0321.00036,0,adjacency exists
STPY.0321.00042,0,adjacency exists
STPY.0321.00115,0,adjacency exists
STPY.0321.00003,0,adjacency exists
STPY.0321.00049,0,adjacency exists
STPY.0321.00104,0,adjacency exists
STPY.0321.00020,0,adjacency exists
STPY.0321.00133,0,adjacency exists
STPY.0321.00166,0,adjacency exists
STPY.0321.00148,0,adjacency exists
STPY.0321.00191,0,adjacency exists
STPY.0321.00162,0,adjacency exists
STPY.0321.00063,0,adjacency exists
STPY.0321.00171,0,adjacency exists
STPY.0321.00064,0,adjacency exists
STPY.0321.00114,0,adjacency exists
STPY.0321.00174,0,adjacency exists
STPY.0321.00021,0,adjacency exists
STPY.0321.00121,0,adjacency exists
STPY.0321.00132,0,adjacency exists
STPY.0321.00143,0,adjacency exists
STPY.0321.00095,0,adjacency exists
STPY.0321.00038,0,adjacency exists
STPY.0321.00212,0,adjacency exists
STPY.0321.00060,0,adjacency exists
STPY.0321.00006,4,inversion between 51h-52t and 82h-83t
STPY.0321.00156,0,adjacency exists
STPY.0321.00037,0,adjacency exists
STPY.0321.00118,0,adjacency exists
STPY.0321.00081,0,adjacency exists
STPY.0321.00158,0,adjacency exists
STPY.0321.00005,0,adjacency exists
STPY.0321.00068,0,adjacency exists
STPY.0321.00130,0,adjacency exists
STPY.0321.00175,0,adjacency exists
STPY.0321.00216,0,adjacency exists
STPY.0321.00009,0,adjacency exists
STPY.0321.00085,0,adjacency exists
STPY.0321.00129,0,adjacency exists
STPY.0321.00048,0,adjacency exists
STPY.0321.00214,0,adjacency exists
STPY.0321.00057,0,adjacency exists
STPY.0321.00016,0,adjacency exists
STPY.0321.00109,0,adjacency exists
STPY.0321.00035,0,adjacency exists
STPY.0321.00201,0,adjacency exists
STPY.0321.00083,0,adjacency exists
STPY.0321.00181,0,adjacency exists
STPY.0321.00137,0,adjacency exists
STPY.0321.00086,5,inversion between 51h-52t and 104h-105t
STPY.0321.00206,0,adjacency exists
STPY.0321.00144,0,adjacency exists
STPY.0321.00116,0,adjacency exists
STPY.0321.00072,0,adjacency exists
STPY.0321.00018,0,adjacency exists
STPY.0321.00088,0,adjacency exists
STPY.0321.00089,0,adjacency exists
STPY.0321.00168,0,adjacency exists
STPY.0321.00075,0,adjacency exists
STPY.0321.00052,0,adjacency exists
STPY.0321.00155,0,adjacency exists
STPY.0321.00205,0,adjacency exists
STPY.0321.00061,0,adjacency exists
STPY.0321.00126,0,adjacency exists
STPY.0321.00167,0,adjacency exists
STPY.0321.00091,0,adjacency exists
STPY.0321.00153,0,adjacency exists
STPY.0321.00217,0,adjacency exists
STPY.0321.00179,0,adjacency exists
STPY.0321.00208,0,adjacency exists
STPY.0321.00073,0,adjacency exists
STPY.0321.00002,0,adjacency exists
STPY.0321.00040,0,adjacency exists
STPY.0321.00032,0,adjacency exists
STPY.0321.00028,0,adjacency exists
STPY.0321.00113,0,adjacency exists
STPY.0321.00189,0,adjacency exists
STPY.0321.00080,0,adjacency exists
STPY.0321.00043,0,adjacency exists
STPY.0321.00196,0,adjacency exists
STPY.0321.00047,0,adjacency exists
STPY.0321.00025,0,adjacency exists
STPY.0321.00210,0,adjacency exists
STPY.0321.00101,0,adjacency exists
STPY.0321.00078,0,adjacency exists
STPY.0321.00090,0,adjacency exists
STPY.0321.00087,0,adjacency exists
STPY.0321.00142,0,adjacency exists
STPY.0321.00004,0,adjacency exists
STPY.0321.00215,0,adjacency exists
STPY.0321.00213,0,adjacency exists
STPY.0321.00096,0,adjacency exists
STPY.0321.00074,0,adjacency exists
STPY.0321.00161,0,adjacency exists
STPY.0321.00045,0,adjacency exists
STPY.0321.00200,0,adjacency exists
STPY.0321.00111,0,adjacency exists
STPY.0321.00124,0,adjacency exists
STPY.0321.00203,0,adjacency exists
STPY.0321.00147,0,adjacency exists
STPY.0321.00031,0,adjacency exists
STPY.0321.00108,0,adjacency exists
STPY.0321.00103,0,adjacency exists
STPY.0321.00014,0,adjacency exists
STPY.0321.00077,0,adjacency exists
STPY.0321.00173,0,adjacency exists
STPY.0321.00146,0,adjacency exists
STPY.0321.00044,0,adjacency exists
STPY.0321.00125,0,adjacency exists
