strain,character_state,character_state_annotation
CP000017,0,0 copies
CP000003,1,1 copies
CP010449,0,0 copies
CP007024,0,0 copies
AM295007,1,1 copies
AP012491,0,0 copies
CP003121,0,0 copies
CP012045,0,0 copies
CP013840,0,0 copies
CP000259,0,0 copies
CP013672,1,1 copies
CP003116,0,0 copies
CP007240,0,0 copies
CP014139,0,0 copies
CP014027,0,0 copies
CP000829,0,0 copies
CP007241,0,0 copies
CP000260,1,1 copies
AE009949,1,1 copies
CP003901,0,0 copies
CP015238,0,0 copies
CP003068,1,1 copies
CP009612,0,0 copies
CP007041,1,1 copies
CP011068,1,1 copies
CP000262,0,0 copies
CP011535,1,1 copies
CP011415,1,1 copies
BA000034,1,1 copies
AP014572,0,0 copies
CP008776,0,0 copies
CP008695,0,0 copies
CP010450,0,0 copies
CP007561,0,0 copies
CP007560,1,1 copies
CP006366,1,1 copies
CP013839,0,0 copies
CP000261,1,1 copies
HG316453,0,0 copies
CP013838,2,2 copies
CP007537,1,1 copies
CP014138,0,0 copies
AE014074,1,1 copies
AE004092,1,1 copies
AP012335,1,1 copies
CP000056,1,1 copies
CP008926,0,0 copies
CP007562,0,0 copies
AP014585,0,0 copies
AFRY01000001,0,0 copies
